Team,ABR,Park,Righties,Lefties
Brewers,MIL,American Family Fld,1.14,1.08
Angels,LAA,Angel Stadium,1.04,1.29
Cardinals,STL,Busch Stadium,0.84,0.93
Diamondbacks,ARI,Chase Field,0.87,0.97
Mets,NYM,Citi Field,1.07,0.98
Tigers,DET,Comerica Park,0.96,0.88
Phillies,PHI,Citizens Bank Park,1.22,1.16
Rockies,COL,Coors Field,1.21,1.22
Dodgers,LAD,Dodger Stadium,1.2,1.05
Red Sox,BOS,Fenway Park,0.98,0.84
Rangers,TEX,Globe Life Field,0.96,0.95
Reds,CIN,Great American BP,1.3,1.36
White Sox,CHW,Guaranteed Rate Fld,1.12,1.15
Royals,KCR,Kauffman Stadium,0.84,0.76
Marlins,MIA,LoanDepot Park,0.72,0.77
Astros,HOU,Minute Maid Park,1.12,1.07
Nationals,WSN,Nationals Park,1.09,1.14
Athletics,OAK,Oakland Coliseum,0.82,0.73
Giants,SFG,Oracle Park,0.79,0.73
Orioles,BAL,Oriole Park,1.2,1.11
Padres,SDP,Petco Park,0.98,0.92
Pirates,PIT,PNC Park,0.8,0.93
Guardians,CLE,Progressive Field,0.98,1.08
Blue Jays,TOR,Rogers Centre,1.1,1.15
Twins,MIN,Target Field,0.86,0.89
Mariners,SEA,T-Mobile Park,1.04,0.89
Rays,TBR,Tropicana Field,0.91,0.96
Braves,ATL,Truist Park,0.94,0.92
Cubs,CHC,Wrigley Field,0.98,0.83
Yankees,NYY,Yankee Stadium,1.02,1.1
